#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231.133.780
#Sample rate: 2.5e+07Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 20 mV/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-0.0005049704347826088,-0.02500271417919507
-0.0005049304347826088,-0.02723459355770529
-0.0005048904347826086,-0.0272345935577107
-0.0005048504347826086,-0.02872251314338418
-0.0005048104347826086,-0.03021043272905856
-0.0005047704347826087,-0.03194633891234277
-0.0005047304347826087,-0.03459152928686889
-0.0005046904347826087,-0.03475685368527524
-0.0005046504347826087,-0.03393023169323172
-0.0005046104347826087,-0.03161569011552164
-0.0005045704347826088,-0.02921848633860326
-0.0005045304347826088,-0.02541602517521549
-0.0005044904347826088,-0.0233494701951172
-0.0005044504347826086,-0.02103492861738561
-0.0005044104347826086,-0.01731512965320102
-0.0005043704347826086,-0.01334734409140117
-0.0005043304347826087,-0.008304949939963448
-0.0005042904347826087,-0.004419826577370693
-0.0005042504347826087,-3.87300195560016e-05
-0.0005042104347826087,0.003433082347009126
-0.0005041704347826088,0.007814178904825471
-0.0005041304347826088,0.01178196446662141
-0.0005040904347826088,0.01236059986104998
-0.0005040504347826086,0.01376585724752118
-0.0005040104347826086,0.01426183044274116
-0.0005039704347826086,0.01351787064990893
-0.0005039304347826087,0.01401384384513207
-0.0005038904347826087,0.01426183044274552
-0.0005038504347826087,0.01517111463399313
-0.0005038104347826087,0.01756831841090714
-0.0005037704347826087,0.01922156239498879
-0.0005037304347826088,0.02004818438702961
-0.0005036904347826088,0.0205441575822541
-0.0005036504347826088,0.02013084658623444
-0.0005036104347826086,0.02037883318384233
-0.0005035704347826086,0.01938688679338763
-0.0005035304347826087,0.01682435861806755
-0.0005034904347826087,0.01525377683318939
-0.0005034504347826087,0.01335254625149611
-0.0005034104347826087,0.01178196446661915
-0.0005033704347826087,0.01054203147856018
-0.0005033304347826088,0.01128599127139692
-0.0005032904347826088,0.01095534247458059
-0.0005032504347826088,0.01095534247458059
-0.0005032104347826086,0.01310455965389273
-0.0005031704347826086,0.01475780363797437
-0.0005031304347826086,0.01641104762205962
-0.0005030904347826087,0.01905623799657851
-0.0005030504347826087,0.01789896720772678
-0.0005030104347826087,0.01971753559021027
-0.0005029704347826087,0.01806429160613164
-0.0005029304347826087,0.01946954899260103
-0.0005028904347826088,0.01988285998862144
-0.0005028504347826088,0.02137077957429492
-0.0005028104347826088,0.02137077957429492
-0.0005027704347826086,0.02178409057031442
-0.0005027304347826086,0.02153610397270699
-0.0005026904347826087,0.0226107125623563
-0.0005026504347826087,0.02269337476155828
-0.0005026104347826087,0.02161876617190491
-0.0005025704347826087,0.02037883318384398
-0.0005025304347826087,0.01930422459419287
-0.0005024904347826088,0.02062681978145818
-0.0005024504347826088,0.02161876617190716
-0.0005024104347826088,0.0245946053432487
-0.0005023704347826086,0.02839706650665572
-0.0005023304347826086,0.03219952767002995
-0.0005022904347826086,0.03228218986923073
-0.0005022504347826087,0.03145556787719141
-0.0005022104347826087,0.03062894588514593
-0.0005021704347826087,0.02723979571777888
-0.0005021304347826087,0.02401596994882554
-0.0005020904347826087,0.01847760260215205
-0.0005020504347826088,0.01616306102443775
-0.0005020104347826088,0.01368319504831529
-0.0005019704347826088,0.01202995106423666
-0.0005019304347826086,0.0118646266658291
-0.0005018904347826086,0.01285657305627808
-0.0005018504347826087,0.01384851944672842
-0.0005018104347826087,0.01657637202046192
-0.0005017704347826087,0.01864292700056562
-0.0005017304347826087,0.02161876617191258
-0.0005016904347826087,0.02459460534325411
-0.0005016504347826088,0.02864505310425413
-0.0005016104347826088,0.03269550086525415
-0.0005015704347826088,0.03724192182147039
-0.0005015304347826086,0.04120970738328512
-0.0005014904347826086,0.04410288435542528
-0.0005014504347826086,0.0462521015347275
-0.0005014104347826087,0.04732671012437471
-0.0005013704347826087,0.04625210153471848
-0.0005013304347826087,0.04344158676178165
-0.0005012904347826087,0.04170568057849908
-0.0005012504347826087,0.03682861082545825
-0.0005012104347826088,0.03286082526366231
-0.0005011704347826088,0.02864505310425413
-0.0005011304347826088,0.02575187613211653
-0.0005010904347826086,0.02285869915995546
-0.0005010504347826086,0.01930422459418565
-0.0005010104347826087,0.0173203318132934
-0.0005009704347826087,0.01649370982124716
-0.0005009304347826087,0.0126912486578624
-0.0005008904347826087,0.01054203147855206
-0.0005008504347826087,0.00607827272153975
-0.0005008104347826088,0.002027824960539733
-0.0005007704347826088,0.0007052297732744211
-0.0005007304347826088,-0.002187947198863185
-0.0005006904347826086,-0.003345217987732212
-0.0005006504347826086,-0.005163786370225023
-0.0005006104347826086,-0.007808976744748128
-0.0005005704347826087,-0.008387612139181815
-0.0005005304347826087,-0.01235539770096692
-0.0005004904347826087,-0.01037150492007347
-0.0005004504347826087,-0.01086747811529706
-0.0005004104347826087,-0.01185942450574604
-0.0005003704347826088,-0.01491792587629707
-0.0005003304347826088,-0.01648850766117463
-0.0005002904347826088,-0.01896837363729258
-0.0005002504347826086,-0.02070427982059244
-0.0005002104347826086,-0.02334947019511825
-0.0005001704347826087,-0.0246720653823777
-0.0005001304347826087,-0.02409342998794476
-0.0005000904347826087,-0.0211175908165948
-0.0005000504347826087,-0.016488507661162
-0.0005000104347826087,-0.009544882928031745
-0.0004999704347826088,-0.00433716437817458
-0.0004999304347826088,0.002275811558151979
-0.0004998904347826088,0.007566192307203602
-0.0004998504347826086,0.01318722185310914
-0.0004998104347826086,0.01822961600455875
-0.0004997704347826086,0.02343733455440869
-0.0004997304347826087,0.02666116032335616
-0.0004996904347826087,0.02666116032335857
-0.0004996504347826087,0.02798375551062193
-0.0004996104347826087,0.02823174210823372
-0.0004995704347826087,0.02839706650664189
-0.0004995304347826088,0.0297196616939072
-0.0004994904347826088,0.03021563488913169
-0.0004994504347826088,0.03046362148674349
-0.0004994104347826086,0.02980232389310677
-0.0004993704347826086,0.02856239090504313
-0.0004993304347826087,0.02666116032335376
-0.0004992904347826087,0.02533856513608649
-0.0004992504347826087,0.02294136135916526
-0.0004992104347826087,0.01897357579737519
-0.0004991704347826087,0.0182296160045398
-0.0004991304347826088,0.01674169641886633
-0.0004990904347826088,0.01608039882523367
-0.0004990504347826088,0.01293923525548427
-0.0004990104347826086,0.007400867908792431
-0.0004989704347826086,0.003929055542214372
-0.0004989304347826086,-0.001361325206834545
-0.0004988904347826087,-0.003262555788525273
-0.0004988504347826087,-0.00532911076862206
-0.0004988104347826087,-0.004502488776584548
-0.0004987704347826087,-0.005494435167031728
-0.0004987304347826088,-0.004585150975786826
-0.0004986904347826088,-0.004502488776582744
-0.0004986504347826088,-0.003427880186929678
-0.0004986104347826086,-0.004998461971818964
-0.0004985704347826086,-0.008222287740776957
-0.0004985304347826086,-0.01111546471292885
-0.0004984904347826087,-0.0164885076611814
-0.0004984504347826087,-0.02020830662536494
-0.0004984104347826087,-0.02384544339034455
-0.0004983704347826087,-0.02748258015531694
-0.0004983304347826087,-0.02715193135850121
-0.0004982904347826088,-0.02872251314337877
-0.0004982504347826088,-0.02971445953382775
-0.0004982104347826088,-0.02872251314338057
-0.0004981704347826086,-0.02971445953382805
-0.0004981304347826086,-0.02979712173303424
-0.0004980904347826086,-0.0304584193266699
-0.0004980504347826087,-0.03194633891233841
-0.0004980104347826087,-0.03219432550995111
-0.0004979704347826087,-0.03269029870517696
-0.0004979304347826087,-0.03393023169323593
-0.0004978904347826088,-0.03376490729482776
-0.0004978504347826088,-0.035004840282889
-0.0004978104347826088,-0.03550081347811349
-0.0004977704347826086,-0.0363274354701516
-0.0004977304347826086,-0.03558347567730794
-0.0004976904347826086,-0.032938285302768
-0.0004976504347826087,-0.02773056675291896
-0.0004976104347826087,-0.02177888841022821
-0.0004975704347826087,-0.01756311625082334
-0.0004975304347826087,-0.01516591247390691
-0.0004974904347826087,-0.01384331728664401
-0.0004974504347826088,-0.01119812691211338
-0.0004974104347826088,-0.01061949151768481
-0.0004973704347826088,-0.01053682931848088
-0.0004973304347826086,-0.009958193924057567
-0.0004972904347826086,-0.01144611350972954
-0.0004972504347826086,-0.01252072209937644
-0.0004972104347826087,-0.01128078911131747
-0.0004971704347826087,-0.0112807891113116
-0.0004971304347826087,-0.00805696334235421
-0.0004970904347826087,-0.005825083963848056
