#Digilent WaveForms Scope FFT
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231

Frequency (Hz),Channel 1 (dBV),Phase (deg)
38909.912109375,-62.73407568621933,36.4026670646574
39672.8515625,-66.90404382036276,-88.16967261727763
40435.791015625,-61.8597649728796,154.4509193757112
41198.73046875,-64.15891356930173,-4.993528772054676
41961.669921875,-69.0227551359192,-149.5736563339204
42724.609375,-63.19121622572603,-69.68275671385554
43487.548828125,-59.8537622429419,65.36223455433534
44250.48828125,-61.95179126937941,178.0380541483067
45013.427734375,-59.98798074058479,-50.75024334109495
45776.3671875,-64.30249451876506,79.8456456228507
46539.306640625,-59.09477484080546,-100.5588316314476
47302.24609375,-57.68244420324197,121.225321256534
48065.185546875,-61.4734138893993,-35.97254056672957
48828.125,-77.13858372512168,94.72661096549382
49591.064453125,-69.61444073688422,-147.3734799072206
50354.00390625,-66.63510407192049,92.91964706069425
51116.943359375,-59.56099656786336,-85.842120174133
51879.8828125,-78.58327267264615,62.8965286830437
52642.822265625,-59.98471161688361,86.14970523624073
53405.76171875,-67.31695925634442,-35.49230652233839
54168.701171875,-61.66253184334905,-146.0962804717186
54931.640625,-64.20293115420704,-24.95966866252153
55694.580078125,-66.14853377689741,90.86602732476528
56457.51953125,-57.62408759805702,-139.286590365164
57220.458984375,-57.1724592386047,33.38591576577901
57983.3984375,-62.47686752180844,-105.4100888909207
58746.337890625,-57.1001659791748,122.1490473701448
59509.27734375,-62.55463581960556,-50.58024358653118
60272.216796875,-61.80833618285858,-88.84606419752015
61035.15625,-60.62901135702677,107.2022560444964
61798.095703125,-62.32540509920938,11.27313445408596
62561.03515625,-81.13060899762851,36.81010955715482
63323.974609375,-64.59525339716224,-93.04718738083913
64086.9140625,-63.01896651307678,142.392315785264
64849.853515625,-68.75921005518273,-115.8765992321952
65612.79296875,-61.83848183883087,25.37472118500219
66375.732421875,-60.3025445510912,-171.3496835441853
67138.671875,-60.94180612607845,-77.07012059271554
67901.611328125,-59.18616716672528,71.40196671792592
68664.55078125,-61.75524599427418,-72.10382858203349
69427.490234375,-66.86915547152849,151.8493811400949
70190.4296875,-65.74786487319399,87.21552672227415
70953.369140625,-61.88667011284344,-78.84344259727925
71716.30859375,-70.13251422364566,-71.26321851135057
72479.248046875,-58.44476008324932,106.4364519803198
73242.1875,-64.5270061770361,-61.28278543265798
74005.126953125,-67.64461014888332,-32.74889684466385
74768.06640625,-55.64713341667112,141.5020357015325
75531.005859375,-55.21675636332504,-52.57657410767084
76293.9453125,-65.74646658661767,74.57662835390499
77056.884765625,-65.51885357361493,122.0139608651019
77819.82421875,-64.77131630212321,-62.71156019705457
78582.763671875,-65.73654899282147,101.2675252522486
79345.703125,-81.15134742801135,41.79728543634076
80108.642578125,-65.71803697338088,-99.25029386935518
80871.58203125,-65.23281751329017,87.21597474139851
81634.521484375,-69.66576564245524,-61.98316051263257
82397.4609375,-66.57439049206012,160.0880924149525
83160.400390625,-75.91757976854799,-29.56340218654742
83923.33984375,-62.56792561651027,-54.81750677667796
84686.279296875,-60.96589171558828,134.1165641463194
