  Hz	 Vrms	dBV	deg
8800.0	0.078	-22.187	-78.6
8900.0	0.078	-22.195	-78.8
9000.0	0.076	-22.375	-79.2
9100.0	0.073	-22.713	-79.2
9200.0	0.073	-22.719	-79.3
9300.0	0.073	-22.732	-79.2
9400.0	0.072	-22.887	-78.9
9500.0	0.072	-22.892	-79.7
9600.0	0.071	-22.965	-79.8
9700.0	0.071	-23.055	-80.0
9800.0	0.070	-23.155	-80.2
9900.0	0.068	-23.335	-80.3
10000.0	0.067	-23.470	-80.3
  Hz	 Vrms	dBV	deg
1000.0	0.036	-28.959	85.6
1100.0	0.022	-33.170	84.8
1200.0	0.023	-32.727	86.9
1300.0	0.024	-32.388	85.2
1400.0	0.025	-32.079	87.2
1500.0	0.026	-31.593	90.2
1600.0	0.041	-27.661	88.3
1700.0	0.029	-30.704	85.0
1800.0	0.042	-27.537	84.9
1900.0	0.042	-27.485	85.3
2000.0	0.043	-27.444	83.8
2100.0	0.043	-27.396	83.3
2200.0	0.043	-27.323	82.9
2300.0	0.043	-27.297	83.3
2400.0	0.044	-27.120	83.6
2500.0	0.044	-27.079	83.3
2600.0	0.045	-26.958	82.5
2700.0	0.047	-26.596	82.1
2800.0	0.049	-26.223	80.7
2900.0	0.052	-25.701	80.3
3000.0	0.057	-24.859	79.1
3100.0	0.061	-24.276	78.5
3200.0	0.065	-23.805	75.9
3300.0	0.071	-23.046	73.7
3400.0	0.081	-21.884	70.2
3500.0	0.100	-19.982	65.1
3600.0	0.124	-18.158	56.6
3700.0	0.143	-16.896	42.6
3800.0	0.159	-15.995	21.0
3900.0	0.164	-15.705	-4.9
4000.0	0.156	-16.148	-26.6
4100.0	0.144	-16.868	-41.8
4200.0	0.129	-17.791	-52.2
4300.0	0.119	-18.544	-59.1
4400.0	0.104	-19.683	-64.4
4500.0	0.090	-20.960	-67.6
4600.0	0.080	-21.979	-70.0
4700.0	0.073	-22.757	-72.5
4800.0	0.069	-23.299	-74.0
4900.0	0.066	-23.623	-75.7
5000.0	0.065	-23.813	-76.8
5100.0	0.062	-24.157	-77.3
5200.0	0.061	-24.335	-79.1
5300.0	0.059	-24.674	-79.3
5400.0	0.056	-25.036	-78.8
5500.0	0.054	-25.428	-80.7
5600.0	0.051	-25.870	-80.2
5700.0	0.050	-26.052	-80.8
5800.0	0.049	-26.297	-81.8
5900.0	0.047	-26.621	-80.2
6000.0	0.047	-26.578	-80.6
6100.0	0.046	-26.733	-82.3
6200.0	0.046	-26.777	-82.0
6300.0	0.046	-26.722	-82.5
6400.0	0.046	-26.838	-83.2
6500.0	0.046	-26.852	-82.5
6600.0	0.045	-26.889	-82.5
6700.0	0.045	-26.970	-83.2
6800.0	0.044	-27.095	-83.3
6900.0	0.044	-27.091	-84.2
7000.0	0.044	-27.121	-84.6
7100.0	0.045	-26.960	-85.3
7200.0	0.044	-27.082	-85.2
7300.0	0.044	-27.152	-84.2
7400.0	0.044	-27.228	-85.9
7500.0	0.043	-27.304	-86.1
7600.0	0.044	-27.132	-84.0
7700.0	0.044	-27.198	-85.8
7800.0	0.043	-27.270	-85.8
7900.0	0.043	-27.333	-85.7
8000.0	0.043	-27.367	-86.6
8100.0	0.043	-27.424	-87.4
8200.0	0.043	-27.332	-85.2
8300.0	0.042	-27.473	-85.7
8400.0	0.042	-27.613	-86.8
8500.0	0.042	-27.647	-84.8
8600.0	0.042	-27.520	-86.8
8700.0	0.042	-27.611	-85.2
8800.0	0.042	-27.507	-85.7
8900.0	0.042	-27.602	-84.7
9000.0	0.042	-27.609	-86.7
9100.0	0.041	-27.719	-85.9
9200.0	0.041	-27.670	-86.4
9300.0	0.041	-27.696	-86.4
9400.0	0.041	-27.723	-86.9
9500.0	0.040	-27.890	-86.4
9600.0	0.041	-27.847	-85.7
9700.0	0.039	-28.197	-86.0
9800.0	0.040	-28.062	-86.9
9900.0	0.041	-27.700	-84.9
10000.0	0.039	-28.130	-86.3
