x0000,y0000
0.,4.209032
1.,4.227447
2.,4.2123550000
3.,4.2001290000
4.,4.192073
5.,4.212051
6.,4.188598
7.,4.199347
8.,4.211226
9.,4.222214
10.,4.214765
11.,4.2035170000
12.,4.224906
13.,4.206513
14.,4.2198030000
15.,4.202257
16.,4.220585
17.,4.1890110000
18.,4.212463
19.,4.183191
20.,4.19305
21.,4.185189
22.,4.1809330000
23.,4.222127
24.,4.220324
25.,4.197198
26.,4.163018
27.,4.190596
28.,4.188425
29.,4.180347
30.,4.19913
31.,4.191704
32.,4.234526
33.,4.193636
34.,4.206513
35.,4.184451
36.,4.193202
37.,4.2004980000
38.,4.187209
39.,4.182453
40.,4.212985
41.,4.204147
42.,4.215677
43.,4.203234
44.,4.197979
45.,4.213918
46.,4.212702
47.,4.178284
48.,4.192399
49.,4.181172
50.,4.186058
51.,4.175178
52.,4.185059
53.,4.209336
54.,4.202996
55.,4.20647
56.,4.201106
57.,4.18571
58.,4.210856
59.,4.190879
60.,4.201584
61.,4.206926
62.,4.190032
63.,4.205992
64.,4.207795
65.,4.190227
66.,4.206709
67.,4.1843210000
68.,4.201997
69.,4.179565
70.,4.219543
71.,4.177589
72.,4.203082
73.,4.190553
74.,4.191139
75.,4.191986
76.,4.198283
77.,4.1991520000
78.,4.21331
79.,4.2071000000
80.,4.200998
81.,4.231855
82.,4.2268820000
83.,4.202692
84.,4.209966
85.,4.1919210000
86.,4.195395
87.,4.191248
88.,4.176677
89.,4.212854
90.,4.20406
91.,4.191943
92.,4.190444
93.,4.200194
94.,4.207556
95.,4.213115
96.,4.208989
97.,4.186449
98.,4.177133
99.,4.178892
100.,4.189619
101.,4.207882
102.,4.1946140000
103.,4.225883
104.,4.2114650000
105.,4.2223
106.,4.1980450000
107.,4.191812
108.,4.221758
109.,4.176959
110.,4.196003
111.,4.239911
112.,4.187165
113.,4.211595
114.,4.218652
115.,4.198761
116.,4.224038
117.,4.219868
118.,4.167926
119.,4.2212580000
120.,4.2145480000
121.,4.1997170000
122.,4.193202
123.,4.211921
124.,4.204212
125.,4.189662
126.,4.207252
