x0000,y0000
0.,5.102677
1.,5.070908
2.,5.0645890000
3.,5.106
4.,5.074339
5.,5.097857
6.,5.03751
7.,5.039399
8.,5.079377
9.,5.044394
10.,5.077966
11.,5.03903
12.,5.050974
13.,5.088128
14.,5.086586
15.,5.058335
16.,5.123242
17.,5.099094
18.,5.102656
19.,5.114816
20.,5.063785
21.,5.0694750000
22.,5.101331
23.,5.0736440000
24.,5.057206
25.,5.073688
26.,5.111103
27.,5.067477
28.,5.056315
29.,5.054166
30.,5.073557
31.,5.05219
32.,5.075729
33.,5.0458050000
34.,5.0877810000
35.,5.102547
36.,5.0376400000
37.,5.093839
38.,5.081744
39.,5.084285
40.,5.115533
41.,5.082982
42.,5.0575100000
43.,5.076684
44.,5.077466
45.,5.087868
46.,5.070213
47.,5.0669340000
48.,5.097943
49.,5.072102
50.,5.053015
51.,5.10676
52.,5.103351
53.,5.095446
54.,5.07764
55.,5.076771
56.,5.042787
57.,5.107715
58.,5.090235
59.,5.070865
60.,5.058617
61.,5.090017
62.,5.071364
63.,5.085848
64.,5.054253
65.,5.080072
66.,5.066413
67.,5.071125
68.,5.048107
69.,5.091472
70.,5.081766
71.,5.0785300000
72.,5.090387
73.,5.0781610000
74.,5.06954
75.,5.089779
76.,5.063829
77.,5.077748
78.,5.0761850000
79.,5.082917
80.,5.09334
81.,5.07549
82.,5.0578790000
83.,5.071017
84.,5.083177
85.,5.063677
86.,5.063829
87.,5.071646
88.,5.0567930000
89.,5.090256
90.,5.055251
91.,5.063742
92.,5.049258
93.,5.104936
94.,5.051516
95.,5.078183
96.,5.066
97.,5.0651100000
98.,5.070669
99.,5.057705
100.,5.069453
101.,5.050756
102.,5.059594
103.,5.078834
104.,5.079399
105.,5.08207
106.,5.0901260000
107.,5.049671
108.,5.0810710000
109.,5.0759680000
110.,5.05232
111.,5.043612
112.,5.116966
113.,5.082243
114.,5.060354
115.,5.0598550000
116.,5.077249
117.,5.086348
118.,5.069453
119.,5.082461
120.,5.0399210000
121.,5.080094
122.,5.082135
123.,5.095924
124.,5.058726
125.,5.094274
126.,5.086282
