x0000,y0000
0.,1.366993
1.,1.369034
2.,1.366884
3.,1.366406
4.,1.37557
5.,1.381411
6.,1.36949
7.,1.373333
8.,1.366146
9.,1.369316
10.,1.375657
11.,1.372117
12.,1.366233
13.,1.380152
14.,1.3680350000
15.,1.3724
16.,1.376374
17.,1.3684910000
18.,1.378198
19.,1.3760700000
20.,1.374875
21.,1.368209
22.,1.373833
23.,1.375092
24.,1.388425
25.,1.377351
26.,1.371118
27.,1.372508
28.,1.373594
29.,1.371488
30.,1.359219
31.,1.368686
32.,1.369316
33.,1.367861
34.,1.375136
35.,1.367948
36.,1.372074
37.,1.365668
38.,1.363453
39.,1.37772
40.,1.369968
41.,1.3517270000
42.,1.371444
43.,1.375874
44.,1.364951
45.,1.377068
46.,1.362519
47.,1.3724
48.,1.3775680000
49.,1.364322
50.,1.372269
51.,1.367101
52.,1.36975
53.,1.372877
54.,1.374441
55.,1.367905
56.,1.371032
57.,1.371336
58.,1.378067
59.,1.367709
60.,1.3713790000
61.,1.3683390000
62.,1.364126
63.,1.361998
64.,1.361499
65.,1.379457
66.,1.366233
67.,1.359653
68.,1.371336
69.,1.37392
70.,1.359023
71.,1.368274
72.,1.370988
73.,1.3689900000
74.,1.375092
75.,1.37544
76.,1.366689
77.,1.3684910000
78.,1.360956
79.,1.3694250000
80.,1.367796
81.,1.364778
82.,1.370858
83.,1.364495
84.,1.374897
85.,1.379739
86.,1.370771
87.,1.364343
88.,1.3589360000
89.,1.369707
90.,1.362346
91.,1.3717480000
92.,1.366906
93.,1.370554
94.,1.364778
95.,1.3719
96.,1.367774
97.,1.376222
98.,1.368078
99.,1.3698160000
100.,1.378979
101.,1.366689
102.,1.373659
103.,1.378784
104.,1.367601
105.,1.366927
106.,1.369772
107.,1.373247
108.,1.366623
109.,1.374723
110.,1.368686
111.,1.36886
112.,1.376352
113.,1.36962
114.,1.377785
115.,1.369837
116.,1.376287
117.,1.3684260000
118.,1.36823
119.,1.366884
120.,1.368187
121.,1.377959
122.,1.3642560000
123.,1.371857
124.,1.366862
125.,1.365972
126.,1.362867
