  Hz	 Vrms	dBV	deg
8900.0	0.288	-10.827	8.3
9000.0	0.287	-10.871	8.2
9100.0	0.287	-10.871	8.1
9200.0	0.285	-10.918	8.0
9300.0	0.283	-10.974	8.0
9400.0	0.284	-10.968	7.6
9500.0	0.283	-10.972	7.7
9600.0	0.283	-10.986	7.5
9700.0	0.282	-11.030	7.5
9800.0	0.281	-11.038	7.5
9900.0	0.282	-11.016	7.4
10000.0	0.281	-11.042	7.2
  Hz	 Vrms	dBV	deg
1000.0	0.019	-34.302	80.0
1100.0	0.023	-32.931	82.1
1200.0	0.024	-32.310	80.5
1300.0	0.027	-31.453	79.4
1400.0	0.030	-30.417	79.2
1500.0	0.033	-29.575	78.8
1600.0	0.036	-28.854	78.9
1700.0	0.039	-28.268	78.7
1800.0	0.041	-27.815	78.3
1900.0	0.043	-27.363	76.6
2000.0	0.047	-26.522	76.6
2100.0	0.049	-26.154	76.0
2200.0	0.053	-25.584	75.4
2300.0	0.056	-25.000	73.9
2400.0	0.059	-24.538	73.0
2500.0	0.064	-23.951	71.3
2600.0	0.067	-23.474	69.3
2700.0	0.071	-22.987	68.3
2800.0	0.076	-22.389	65.4
2900.0	0.081	-21.818	62.5
3000.0	0.086	-21.335	59.3
3100.0	0.092	-20.767	56.0
3200.0	0.097	-20.320	51.1
3300.0	0.101	-19.899	46.0
3400.0	0.107	-19.474	39.7
3500.0	0.112	-19.020	32.7
3600.0	0.117	-18.690	24.1
3700.0	0.120	-18.432	14.7
3800.0	0.122	-18.290	4.5
3900.0	0.122	-18.272	-4.9
4000.0	0.121	-18.335	-14.3
4100.0	0.118	-18.572	-22.4
4200.0	0.115	-18.824	-29.0
4300.0	0.111	-19.118	-35.1
4400.0	0.107	-19.443	-40.7
4500.0	0.103	-19.754	-45.1
4600.0	0.100	-20.019	-48.6
4700.0	0.096	-20.406	-52.0
4800.0	0.093	-20.671	-54.9
4900.0	0.090	-20.971	-57.0
5000.0	0.087	-21.262	-59.0
5100.0	0.084	-21.536	-60.3
5200.0	0.081	-21.866	-62.0
5300.0	0.078	-22.198	-63.7
5400.0	0.074	-22.609	-64.6
5500.0	0.072	-22.914	-66.4
5600.0	0.069	-23.244	-67.1
5700.0	0.067	-23.563	-67.9
5800.0	0.065	-23.821	-69.1
5900.0	0.063	-23.977	-70.1
6000.0	0.061	-24.273	-70.1
6100.0	0.060	-24.492	-71.9
6200.0	0.058	-24.795	-71.7
6300.0	0.057	-24.979	-72.7
6400.0	0.055	-25.247	-72.8
6500.0	0.054	-25.441	-73.4
6600.0	0.052	-25.627	-74.2
6700.0	0.052	-25.763	-75.4
6800.0	0.051	-25.921	-75.0
6900.0	0.050	-26.081	-74.9
7000.0	0.049	-26.189	-75.9
7100.0	0.048	-26.334	-76.1
7200.0	0.048	-26.415	-75.8
