0, 69.81414, 22.56804
1, 70.27284, 21.375420000000002
2, 70.54806, 21.1002
3, 70.27284, 19.90758
4, 72.56634, 20.54976
5, 72.9333, 20.6415
6, 73.11678, 21.375420000000002
7, 73.392, 21.28368
8, 73.20852000000001, 22.0176
9, 73.02504, 21.74238
10, 71.92416, 21.74238
11, 70.73154, 22.20108
12, 68.805, 22.29282
13, 68.71326, 22.0176
14, 68.52978, 23.48544
15, 67.24542, 23.8524
16, 66.9702, 23.66892
17, 66.69498, 22.65978
18, 66.32802, 23.8524
19, 66.60324, 23.48544
20, 67.06194, 23.94414
21, 67.06194, 23.48544
22, 68.71326, 23.02674
23, 69.08022, 22.84326
24, 70.45632, 24.12762
25, 71.37372, 25.778940000000002
26, 70.36458, 26.05416
27, 69.90588, 26.421120000000002
28, 70.54806, 27.0633
29, 71.28198, 27.79722
30, 71.64894, 28.53114
31, 70.54806, 29.3568
32, 71.64894, 29.8155
33, 71.19024, 29.54028
34, 71.19024, 29.90724
35, 71.5572, 29.265060000000002
36, 72.65808, 29.90724
37, 73.75896, 30.64116
38, 73.48374, 30.54942
39, 73.48374, 30.7329
40, 73.20852000000001, 30.365940000000002
41, 73.11678, 29.99898
42, 73.11678, 30.45768
43, 73.20852000000001, 29.44854
44, 73.48374, 29.63202
45, 74.12592000000001, 30.2742
46, 73.57548, 29.90724
47, 74.12592000000001, 30.18246
48, 74.12592000000001, 29.63202
49, 74.95158, 29.8155
50, 74.03418, 28.4394
51, 75.13506, 28.53114
52, 74.95158, 28.622880000000002
53, 74.49288, 28.80636
54, 72.9333, 28.34766
55, 72.9333, 28.71462
56, 72.74982, 26.51286
57, 72.65808, 27.61374
58, 73.48374, 28.16418
59, 73.94244, 28.4394
60, 74.40114, 29.265060000000002
61, 74.40114, 29.265060000000002
62, 76.23594, 29.265060000000002
63, 76.23594, 28.25592
64, 76.6029, 29.081580000000002
65, 77.88726, 29.44854
66, 78.52944000000001, 28.622880000000002
67, 79.35510000000001, 28.80636
68, 79.53858, 29.54028
69, 79.90554, 29.081580000000002
70, 78.25422, 29.3568
71, 78.4377, 28.71462
72, 79.07988, 29.17332
73, 78.52944000000001, 29.63202
74, 79.72206, 31.466820000000002
75, 81.18990000000001, 31.466820000000002
76, 80.08902, 30.91638
77, 79.90554, 30.45768
78, 79.26336, 30.7329
79, 78.4377, 30.91638
80, 77.70378, 31.83378
81, 77.61204000000001, 31.466820000000002
82, 77.61204000000001, 31.466820000000002
83, 77.979, 31.466820000000002
84, 79.17162, 30.7329
85, 78.52944000000001, 31.09986
86, 80.18076, 31.09986
87, 80.45598, 30.365940000000002
88, 80.45598, 30.18246
89, 78.62118, 28.53114
90, 77.24508, 28.98984
91, 77.24508, 28.98984
92, 77.979, 29.081580000000002
93, 78.4377, 30.2742
94, 77.5203, 30.91638
95, 75.96072, 32.84292
96, 75.04332000000001, 33.20988
97, 75.77724, 32.75118
98, 75.77724, 32.29248
99, 75.77724, 31.466820000000002
100, 74.95158, 32.109
101, 75.6855, 31.6503
102, 76.51116, 31.6503
103, 77.0616, 32.01726
104, 75.96072, 32.109
105, 77.42856, 32.109
106, 77.42856, 31.1916
107, 78.07074, 31.09986
108, 78.07074, 31.09986
109, 77.33682, 29.90724
110, 77.0616, 29.44854
111, 76.23594, 30.18246
112, 75.6855, 31.09986
113, 75.6855, 30.365940000000002
114, 75.50202, 31.74204
115, 74.67636, 30.824640000000002
116, 74.7681, 29.54028
117, 75.04332000000001, 28.622880000000002
118, 73.8507, 28.622880000000002
119, 74.58462, 30.18246
120, 74.3094, 30.2742
121, 74.49288, 28.98984
122, 75.41028, 29.3568
123, 75.13506, 30.365940000000002
124, 75.41028, 30.7329
125, 74.67636, 31.00812
126, 73.48374, 31.00812
127, 73.02504, 31.55856
128, 72.65808, 31.6503
129, 72.65808, 33.20988
130, 70.63980000000001, 34.49424
131, 71.46546000000001, 34.31076
132, 71.19024, 33.39336
133, 71.00676, 32.659440000000004
134, 71.92416, 33.576840000000004
135, 70.1811, 35.41164
136, 69.72240000000001, 35.50338
137, 71.83242, 33.9438
138, 71.83242, 35.04468
139, 71.83242, 34.4025
140, 72.56634, 33.4851
141, 73.48374, 33.30162
142, 75.86898000000001, 34.76946
143, 76.96986, 34.31076
144, 76.87812, 35.41164
145, 76.78638000000001, 35.87034
146, 76.69464, 36.87948
147, 77.15334, 35.96208
148, 76.6029, 36.42078
149, 75.96072, 36.42078
