x0000,y0000
428.,52.6184592907
429.,52.6186608490
430.,52.6185222777
431.,52.6183900050
432.,52.6183207194
433.,52.6180498753
434.,52.6174452002
435.,52.6174452002
436.,52.6167019536
437.,52.6165003951
438.,52.6158264340
439.,52.6154863040
440.,52.6150139013
441.,52.614743057
442.,52.6142706541
443.,52.6135966925
444.,52.6133888352
445.,52.6130550037
446.,52.612444029
447.,52.6119086387
448.,52.6117700671
449.,52.611228378
450.,52.6108945462
451.,52.6106929875
452.,52.6102205840
453.,52.6098804535
454.,52.6097418818
455.,52.6092694782
456.,52.6091372052
457.,52.6087340874
458.,52.6083939568
459.,52.6082616837
460.,52.6079908389
461.,52.6076507082
462.,52.6074491492
463.,52.6073105774
464.,52.6072475902
465.,52.6065043414
466.,52.6063657695
467.,52.6059626514
468.,52.6056918064
469.,52.6054902473
470.,52.6052886882
471.,52.6047469981
472.,52.6046777121
473.,52.6043438798
474.,52.6038021895
475.,52.6034620583
476.,52.6028573807
477.,52.6029203679
478.,52.6022464041
479.,52.6021141309
480.,52.6018432855
481.,52.6011693216
482.,52.6009614635
483.,52.6010307495
484.,52.6006276308
485.,52.6001552259
486.,52.6004260714
487.,52.5998150944
488.,52.5996828211
489.,52.599071844
490.,52.599071844
491.,52.5988009984
492.,52.5986687250
493.,52.5983285933
494.,52.5983978794
495.,52.5979947604
496.,52.5981963199
497.,52.5983285933
498.,52.5985301528
499.,52.5988009984
500.,52.5990025579
501.,52.5994119756
502.,52.5995442489
503.,52.599613535
504.,52.6001552259
505.,52.6006276308
506.,52.6009614635
507.,52.6009614635
508.,52.6011693216
509.,52.6013015949
510.,52.6012323088
511.,52.6015031542
512.,52.6013015949
513.,52.6013015949
514.,52.6014401669
515.,52.6013015949
516.,52.6011000355
517.,52.6010307495
518.,52.6009614635
519.,52.6006969168
520.,52.6006969168
521.,52.6001552259
522.,52.6001552259
523.,52.6000166538
524.,52.5999536665
525.,52.5998150944
526.,52.5998150944
527.,52.5995442489
528.,52.5994119756
529.,52.5992104161
530.,52.599071844
531.,52.5987380111
532.,52.5988009984
533.,52.5983285933
534.,52.5983978794
535.,52.598265606
536.,52.5979254743
537.,52.5979947604
538.,52.5977239148
539.,52.5975853426
540.,52.5972515095
541.,52.5971129373
542.,52.5971822234
543.,52.5967791042
544.,52.5967098181
545.,52.5969113777
546.,52.5966405320
547.,52.5966405320
548.,52.5966405320
549.,52.5967791042
550.,52.5969806638
551.,52.5969806638
552.,52.5971129373
553.,52.5974530691
554.,52.5975223552
555.,52.5973144969
556.,52.5975853426
557.,52.5976546287
558.,52.5979254743
559.,52.5979254743
560.,52.5979947604
561.,52.5980577477
562.,52.5981963199
563.,52.5981963199
564.,52.5983978794
565.,52.5985301528
566.,52.5985994389
567.,52.5987380111
568.,52.5989395706
569.,52.599071844
570.,52.5994812616
571.,52.5993426895
572.,52.5997458084
573.,52.5999536665
574.,52.6000859399
575.,52.6002874993
576.,52.6006969168
577.,52.6009614635
578.,52.6011000355
579.,52.6013015949
580.,52.6015724402
581.,52.6016417262
582.,52.6018432855
583.,52.6020448448
584.,52.6024479634
585.,52.6024479634
586.,52.6023156901
587.,52.6023849761
588.,52.6021771181
589.,52.6022464041
590.,52.6021771181
591.,52.6023849761
592.,52.6021141309
593.,52.6020448448
594.,52.6023849761
595.,52.6020448448
596.,52.6022464041
597.,52.6021141309
598.,52.6023849761
599.,52.6023849761
600.,52.6021141309
601.,52.6020448448
602.,52.6021771181
603.,52.6017739995
604.,52.6017739995
605.,52.6013708809
606.,52.6013708809
607.,52.6011000355
608.,52.6011693216
609.,52.6009614635
610.,52.6008291901
611.,52.6007599041
612.,52.6004890587
613.,52.6001552259
614.,52.6002182133
615.,52.6004260714
616.,52.6003567853
617.,52.6003567853
618.,52.6002182133
619.,52.6002182133
620.,52.5999536665
621.,52.5999536665
622.,52.5998150944
623.,52.5998150944
624.,52.599613535
625.,52.5994812616
626.,52.5994812616
627.,52.5992104161
628.,52.5992104161
629.,52.5992734034
630.,52.5989395706
631.,52.5991411300
632.,52.599071844
633.,52.5988009984
634.,52.5988009984
635.,52.5991411300
636.,52.5990025579
637.,52.599071844
638.,52.5992734034
639.,52.5994119756
640.,52.5993426895
641.,52.5995442489
642.,52.5995442489
643.,52.5994812616
644.,52.5994119756
645.,52.5993426895
646.,52.5992104161
647.,52.599071844
648.,52.5992734034
649.,52.5990025579
650.,52.5984671655
651.,52.5985994389
652.,52.5985301528
653.,52.5985301528
654.,52.5983285933
655.,52.5981270338
656.,52.5977869021
657.,52.5980577477
658.,52.5980577477
659.,52.5976546287
660.,52.5977869021
661.,52.5979947604
662.,52.5975223552
663.,52.5976546287
664.,52.597383783
665.,52.5975223552
666.,52.5972515095
667.,52.5971129373
668.,52.5970499499
669.,52.5969113777
670.,52.5967098181
671.,52.5968420916
672.,52.5967098181
673.,52.5968420916
674.,52.5969806638
675.,52.5975853426
676.,52.5981270338
677.,52.5985301528
678.,52.5992734034
679.,52.6000859399
680.,52.6004890587
681.,52.6011693216
682.,52.6018432855
683.,52.6023849761
684.,52.6029896539
685.,52.6033927724
686.,52.6035313443
687.,52.6037329035
688.,52.6042053079
689.,52.6041360219
690.,52.6043438798
