m [g],err m,V [cm^3],err V,2r [mm],err 2r,t_1 [s],t_2,t_3,t_4,t_5,err t,p [hPa],err p,T [°C],err T,g_hd [m/s^2],err g_hd
26.006,0.002,5460,5,15.97,0.002,75,74.8,75,74.9,74.9,0.3,1013.3, 0.3, 24.7, 0.5, 9.80984, 0.00002
26.116,0.002,5370,5,15.95,0.002,69,67.9,66.9,66.3,67.9,0.3,1013.3, 0.3, 24.7, 0.5, 9.80984, 0.00002
