Messung,1.1 [cm],1.2 [cm],h1 [cm],2.1 [cm],2.2 [cm],h3 [cm],err hE,err hA,err h1,err h3
1,47.8,52.1,4.3,49.4,50.5,1.1,0.1,1.1,0.173205080756888,0.173205080756888
2,47.9,51.9,4,49.4,50.5,1.1,0.1,1.1,0.173205080756888,0.173205080756888
3,47.6,52.2,4.6,49.3,50.6,1.3,0.1,1.1,0.173205080756888,0.173205080756888
4,47.7,52.2,4.5,49.3,50.5,1.2,0.1,1.1,0.173205080756888,0.173205080756888
5,47.8,52.1,4.3,49.3,50.5,1.2,0.1,1.1,0.173205080756888,0.173205080756888
6,48.8,53.1,4.3,50.3,51.5,1.2,0.1,1.1,0.173205080756888,0.173205080756888
7,47.7,52.2,4.5,49.4,50.6,1.2,0.1,1.1,0.173205080756888,0.173205080756888
