N	f/[kHz]	V/[dBV]
265	8.1024	-45.5
266	8.1329	-45.5
267	8.1635	-51.7
268	8.1940	-51.4
269	8.2245	-51.4
270	8.2550	-54.9
271	8.2855	-54.9
272	8.3160	-57.4
273	8.3466	-55.8
274	8.3771	-52.0
275	8.4076	-51.7
276	8.4381	-51.7
277	8.4686	-62.1
278	8.4991	-57.4
279	8.5297	-57.4
280	8.5602	-51.1
281	8.5907	-43.6
282	8.6212	-43.6
283	8.6517	-58.6
284	8.6823	-64.3
285	8.7128	-59.6
286	8.7433	-59.6
287	8.7738	-57.1
288	8.8043	-56.4
289	8.8348	-56.4
290	8.8654	-59.6
291	8.8959	-58.0
292	8.9264	-58.0
293	8.9569	-62.7
294	8.9874	-62.7
295	9.0179	-62.7
296	9.0485	-62.7
297	9.0790	-61.5
298	9.1095	-57.4
299	9.1400	-57.4
300	9.1705	-60.8
301	9.2010	-57.7
302	9.2316	-57.7
303	9.2621	-59.9
304	9.2926	-59.9
305	9.3231	-61.1
306	9.3536	-61.8
307	9.3842	-57.1
308	9.4147	-57.1
309	9.4452	-58.6
310	9.4757	-62.7
311	9.5062	-60.2
312	9.5367	-60.2
313	9.5673	-48.6
314	9.5978	-47.6
315	9.6283	-47.6
316	9.6588	-63.0
317	9.6893	-61.5
318	9.7198	-61.5
319	9.7504	-62.4
320	9.7809	-63.3
321	9.8114	-60.2
322	9.8419	-60.2
323	9.8724	-67.4
324	9.9030	-70.9
