N	f/[kHz]	V/[dBV]
265	8.1024	-50.2
266	8.1329	-52.4
267	8.1635	-54.0
268	8.1940	-54.0
269	8.2245	-58.4
270	8.2550	-60.9
271	8.2855	-55.9
272	8.3160	-55.9
273	8.3466	-68.1
274	8.3771	-58.4
275	8.4076	-58.4
276	8.4381	-65.0
277	8.4686	-66.9
278	8.4991	-62.5
279	8.5297	-62.5
280	8.5602	-63.1
281	8.5907	-60.6
282	8.6212	-60.6
283	8.6517	-67.8
284	8.6823	-67.8
285	8.7128	-69.7
286	8.7433	-69.7
287	8.7738	-65.0
288	8.8043	-65.0
289	8.8348	-69.1
290	8.8654	-64.0
291	8.8959	-64.0
292	8.9264	-67.8
293	8.9569	-72.2
294	8.9874	-64.4
295	9.0179	-64.4
296	9.0485	-77.2
297	9.0790	-65.6
298	9.1095	-65.6
299	9.1400	-71.9
300	9.1705	-70.0
301	9.2010	-67.2
302	9.2316	-67.2
303	9.2621	-68.1
304	9.2926	-66.9
305	9.3231	-66.9
306	9.3536	-70.9
307	9.3842	-70.9
308	9.4147	-72.5
309	9.4452	-73.5
310	9.4757	-66.2
311	9.5062	-66.2
312	9.5367	-69.4
313	9.5673	-69.4
314	9.5978	-69.4
315	9.6283	-74.7
316	9.6588	-76.6
317	9.6893	-66.9
318	9.7198	-66.9
319	9.7504	-76.3
320	9.7809	-70.0
321	9.8114	-70.0
322	9.8419	-76.0
323	9.8724	-75.3
324	9.9030	-75.3
