N	f/[kHz]	V/[dBV]
265	8.1024	-46.4
266	8.1329	-48.0
267	8.1635	-49.5
268	8.1940	-49.5
269	8.2245	-51.4
270	8.2550	-55.2
271	8.2855	-52.4
272	8.3160	-52.4
273	8.3466	-63.0
274	8.3771	-51.1
275	8.4076	-51.1
276	8.4381	-62.1
277	8.4686	-64.6
278	8.4991	-58.0
279	8.5297	-58.0
280	8.5602	-48.0
281	8.5907	-42.6
282	8.6212	-42.6
283	8.6517	-55.2
284	8.6823	-64.9
285	8.7128	-59.9
286	8.7433	-59.9
287	8.7738	-52.4
288	8.8043	-52.4
289	8.8348	-58.9
290	8.8654	-58.6
291	8.8959	-58.6
292	8.9264	-60.8
293	8.9569	-65.8
294	8.9874	-62.1
295	9.0179	-62.1
296	9.0485	-69.6
297	9.0790	-60.5
298	9.1095	-60.5
299	9.1400	-65.2
300	9.1705	-75.6
301	9.2010	-66.5
302	9.2316	-66.5
303	9.2621	-66.5
304	9.2926	-64.6
305	9.3231	-64.6
306	9.3536	-69.6
307	9.3842	-64.6
308	9.4147	-64.6
309	9.4452	-74.0
310	9.4757	-61.8
311	9.5062	-61.8
312	9.5367	-67.4
313	9.5673	-47.6
314	9.5978	-47.3
315	9.6283	-47.3
316	9.6588	-60.8
317	9.6893	-62.4
318	9.7198	-62.4
319	9.7504	-78.4
320	9.7809	-60.8
321	9.8114	-60.8
322	9.8419	-65.2
323	9.8724	-69.3
324	9.9030	-68.0
