N	f/[kHz]	V/[dBV]
265	8.1024	-41.8
266	8.1329	-41.8
267	8.1635	-50.9
268	8.1940	-50.9
269	8.2245	-52.2
270	8.2550	-52.2
271	8.2855	-52.2
272	8.3160	-54.4
273	8.3466	-54.7
274	8.3771	-50.3
275	8.4076	-50.3
276	8.4381	-50.9
277	8.4686	-58.8
278	8.4991	-58.8
279	8.5297	-59.4
280	8.5602	-51.9
281	8.5907	-44.7
282	8.6212	-44.7
283	8.6517	-52.8
284	8.6823	-58.8
285	8.7128	-57.8
286	8.7433	-57.8
287	8.7738	-57.8
288	8.8043	-57.8
289	8.8348	-58.5
290	8.8654	-53.1
291	8.8959	-52.8
292	8.9264	-52.8
293	8.9569	-57.8
294	8.9874	-57.8
295	9.0179	-62.2
296	9.0485	-62.2
297	9.0790	-56.3
298	9.1095	-54.4
299	9.1400	-54.4
300	9.1705	-59.1
301	9.2010	-59.1
302	9.2316	-59.4
303	9.2621	-57.8
304	9.2926	-57.8
305	9.3231	-59.1
306	9.3536	-59.1
307	9.3842	-60.0
308	9.4147	-56.9
309	9.4452	-56.0
310	9.4757	-52.8
311	9.5062	-52.8
312	9.5367	-57.5
313	9.5673	-46.9
314	9.5978	-45.6
315	9.6283	-45.6
316	9.6588	-61.3
317	9.6893	-58.2
318	9.7198	-58.2
319	9.7504	-58.8
320	9.7809	-51.9
321	9.8114	-51.9
322	9.8419	-56.0
323	9.8724	-61.9
324	9.9030	-65.4
